CountyState,CountyLatLong,CountyName,State,Lat,Long
"ALLEGHANY County ,NC","ALLEGHANY County ,NC,36.494084,-81.119608",ALLEGHANY County ,NC,36.494084,-81.119608
"ALLEGHANY County ,VA","ALLEGHANY County ,VA,37.853198,-80.053492",ALLEGHANY County ,VA,37.853198,-80.053492
"ALLEGHENY County ,PA","ALLEGHENY County ,PA,40.445081,-80.008775",ALLEGHENY County ,PA,40.445081,-80.008775
"ALLEN County ,IN","ALLEN County ,IN,41.093262,-85.023346",ALLEN County ,IN,41.093262,-85.023346
"ALLEN County ,KS","ALLEN County ,KS,37.943585,-95.31025",ALLEN County ,KS,37.943585,-95.31025
"ALLEN County ,KY","ALLEN County ,KY,36.765047,-86.21585",ALLEN County ,KY,36.765047,-86.21585
"ALLEN County ,LA","ALLEN County ,LA,30.588748,-92.85771",ALLEN County ,LA,30.588748,-92.85771
"ALLEN County ,OH","ALLEN County ,OH,40.769946,-84.143514",ALLEN County ,OH,40.769946,-84.143514
"ALLENDALE County ,SC","ALLENDALE County ,SC,33.00597,-81.383933",ALLENDALE County ,SC,33.00597,-81.383933
"ALPENA County ,MI","ALPENA County ,MI,45.031721,-83.540541",ALPENA County ,MI,45.031721,-83.540541
"ALPINE County ,CA","ALPINE County ,CA,38.594074,-119.88152",ALPINE County ,CA,38.594074,-119.88152
"AMADOR County ,CA","AMADOR County ,CA,38.348892,-120.774093",AMADOR County ,CA,38.348892,-120.774093
"AMELIA County ,VA","AMELIA County ,VA,37.321271,-77.973865",AMELIA County ,VA,37.321271,-77.973865
"AMHERST County ,VA","AMHERST County ,VA,37.558829,-79.10969",AMHERST County ,VA,37.558829,-79.10969
"AMITE County ,MS","AMITE County ,MS,31.16838,-90.8294",AMITE County ,MS,31.16838,-90.8294
"ANCHORAGE County ,AK","ANCHORAGE County ,AK,61.132589,-149.371451",ANCHORAGE County ,AK,61.132589,-149.371451
"ANDERSON County ,KS","ANDERSON County ,KS,38.280933,-95.31025",ANDERSON County ,KS,38.280933,-95.31025
"ANDERSON County ,KY","ANDERSON County ,KY,37.998648,-84.981754",ANDERSON County ,KY,37.998648,-84.981754
"ANDERSON County ,SC","ANDERSON County ,SC,34.552833,-82.648344",ANDERSON County ,SC,34.552833,-82.648344
"ANDERSON County ,TN","ANDERSON County ,TN,36.080957,-84.22788",ANDERSON County ,TN,36.080957,-84.22788
